Sample,LOLP,EENS,SAIFI,SAIDI,Cost
52141,0.000901401967741317,2.56899560806275,0.000901401967741317,7.89628123741393,108648
52161,0.000901056344778666,2.5680105826192,0.000901056344778666,7.89325358026111,108648
52181,0.000900710986757632,2.56702631225925,0.000900710986757632,7.89022824399686,108648
52201,0.00090036589337369,2.56604279611502,0.00090036589337369,7.88720522595353,108648
52221,0.000900021064322782,2.56506003331993,0.000900021064322782,7.88418452346757,108648
52241,0.000899676499301315,2.56407802300875,0.000899676499301315,7.88116613387952,108648
52261,0.000899332198006161,2.56309676431756,0.000899332198006161,7.87815005453397,108648
52281,0.000898988160134657,2.56211625638377,0.000898988160134657,7.87513628277959,108648
52301,0.000898644385384601,2.56113649834611,0.000898644385384601,7.8721248159691,108648
52321,0.000898300873454254,2.56015748934462,0.000898300873454254,7.86911565145926,108648
52341,0.000897957624042338,2.55917922852066,0.000897957624042338,7.86610878661088,108648
52361,0.00091671282061076,2.61263153874067,0.00091671282061076,8.03040430855026,NaN
52381,0.000916362803306542,2.61163398942365,0.000916362803306542,8.02733815696531,108648
52401,0.000916013053186008,2.61063720158012,0.000916013053186008,8.02427434590943,108648
52421,0.000915663569943343,2.60964117433853,0.000915663569943343,8.02121287270369,108648
52441,0.000915314353273202,2.60864590682863,0.000915314353273202,8.01815373467325,108648
52461,0.000914965402870704,2.60765139818151,0.000914965402870704,8.01509692914737,108648
52481,0.000914616718431432,2.60665764752958,0.000914616718431432,8.01204245345935,108648
52501,0.000914268299651435,2.60566465400659,0.000914268299651435,8.00899030494657,108648
52521,0.000932960149273624,2.65893642542983,0.000932960149273624,8.17273090763694,108648
52541,0.000932605013227765,2.65792428769913,0.000932605013227765,8.16961991587522,108648
52561,0.000932250147447727,2.65691292022602,0.000932250147447727,8.16651129164209,108648
52581,0.000931895551625112,2.65590232213157,0.000931895551625112,8.16340503223598,108648
52601,0.000931541225451988,2.65489249253816,0.000931541225451988,8.16030113495941,108648
52621,0.000931187168620893,2.65388343056954,0.000931187168620893,8.15719959711902,108648
52641,0.000930833380824832,2.65287513535077,0.000930833380824832,8.15410041602553,108648
52661,0.000930479861757278,2.65186760600824,0.000930479861757278,8.15100358899375,108648
52681,0.000930126611112166,2.65086084166967,0.000930126611112166,8.14790911334257,108648
52701,0.000929773628583898,2.64985484146411,0.000929773628583898,8.14481698639494,108648
52721,0.000929420913867339,2.64884960452192,0.000929420913867339,8.14172720547789,108648
52741,0.000948029047610019,2.70188278568855,0.000948029047610019,8.30473445706376,108648
52761,0.00094766968025625,2.70085858873031,0.00094766968025625,8.30158639904475,108648
52781,0.00094731058524848,2.69983516795817,0.00094731058524848,8.29844072677668,108648
52801,0.00094695176227723,2.6988125224901,0.00094695176227723,8.29529743754853,108648
52821,0.000946593211033491,2.69779065144545,0.000946593211033491,8.29215652865338,108648
52841,0.00094623493120872,2.69676955394485,0.00094623493120872,8.28901799738839,108648
52861,0.000945876922494845,2.69574922911031,0.000945876922494845,8.28588184105484,108648
52881,0.000945519184584255,2.69472967606513,0.000945519184584255,8.28274805695808,108648
52901,0.000945161717169808,2.69371089393395,0.000945161717169808,8.27961664240752,108648
52921,0.000944804519944823,2.69269288184275,0.000944804519944823,8.27648759471665,108648
52941,0.000944447592603086,2.6916756389188,0.000944447592603086,8.27336091120304,108648
52961,0.000944090934838844,2.6906591642907,0.000944090934838844,8.27023658918827,108648
52981,0.000943734546346804,2.68964345708839,0.000943734546346804,8.267114625998,108648
53001,0.000943378426822135,2.68862851644309,0.000943378426822135,8.26399501896191,108648
53021,0.000943022575960469,2.68761434148734,0.000943022575960469,8.2608777654137,108648
53041,0.000942666993457891,2.68660093135499,0.000942666993457891,8.25776286269113,108648
53061,0.00094231167901095,2.68558828518121,0.00094231167901095,8.25465030813592,108648
53081,0.000941956632316648,2.68457640210245,0.000941956632316648,8.25154009909384,108648
53101,0.000941601853072447,2.68356528125647,0.000941601853072447,8.24843223291463,108648
53121,0.000941247340976262,2.68255492178235,0.000941247340976262,8.24532670695205,108648
